pCO2,AOU,excess DIC,T,nDIC+0.768DO,DIC-0.5TA+0.83DO,DO Saturation,label,LOF_label
335.444,-10.09631,-36.444,25.558,2119.8132,973.122,0.97980828,0,0
348.961,-9.5861824,-28.584,28.028,2101.3794,947.984,0.97929006,0,0
341.076,-9.0477409,-34.578,28.921,2082.6352,941.247,0.97747345,0,0
353.768,-8.8908638,-26.494,29.208,2088.336,944.5,0.97687837,0,0
354.26,-9.0037547,-25.216,27.115,2113.218,960.81,0.97590005,0,0
343.376,-8.583298,-32.928,29.233,2081.7106,936.251,0.97537444,0,0
338.733,-8.4619294,-36.06,28.941,2080.7244,938.749,0.97462624,0,0
349.732,-8.6704521,-27.923,27.24,2108.9534,955.729,0.97440454,0,0
342.301,-8.1603101,-32.187,27.168,2106.9212,950.812,0.97187639,0,0
348.88,-7.8787919,-28.762,27.375,2105.973,958.65,0.97076131,0,0
342.173,-7.6435089,-33.865,28.849,2082.9446,941.751,0.97060165,0,0
331.266,-7.7311494,-39.238,27.033,2100.2654,946.729,0.96979526,0,0
350.102,-7.420862,-28.49,29.401,2084.4526,934.506,0.96976101,0,0
336.815,-7.7834189,-36.121,26.432,2107.8382,963.057,0.96975799,0,0
348.686,-7.6196865,-28.92,27.448,2104.774,957.735,0.96957848,0,0
351.538,-7.5109201,-26.486,28.338,2102.0392,937.492,0.96942665,0,0
343.561,-7.3760298,-32.369,28.539,2088.8716,939.581,0.96906658,0,0
345.435,-7.5010895,-30.62,26.416,2114.0744,967.974,0.9684092,0,0
332.807,-6.9252795,-39.83,28.888,2076.6,933.17,0.96710764,0,0
331.309,-7.125477,-39.828,26.587,2101.8536,958.561,0.96677926,0,0
341.042,-7.0074398,-33.315,27.495,2099.3764,945.654,0.96669051,0,0
352.622,-6.9984378,-26.147,27.06,2111.4206,958.316,0.96641182,0,0
351.043,-6.6995851,-28.053,29.092,2086.4676,940.506,0.96610845,0,0
340.002,-6.9005266,-33.911,27.22,2101.6638,948.818,0.96603323,0,0
332.958,-6.7515927,-39.213,27.907,2088.004,943.16,0.96573021,0,0
331.882,-6.7292388,-39.925,27.969,2086.6124,941.494,0.96565264,0,0
344.875,-6.7364582,-30.889,27.233,2104.6082,951.652,0.96526435,0,0
330.354,-6.615966,-40.771,28.272,2083.3082,934.747,0.96523881,0,0
350.742,-6.6943097,-27.295,27.211,2108.3212,954.652,0.96505857,0,0
344.23,-6.7314794,-31.436,26.446,2111.6794,966.144,0.96485871,0,0
335.738,-6.4657187,-37.912,28.785,2078.9174,936.004,0.96483185,0,0
341.985,-6.7681061,-32.472,26.051,2115.9622,967.472,0.96478476,0,0
338.26,-6.6041921,-35.079,27.494,2097.2142,943.822,0.96477725,0,0
342.666,-6.4775225,-32.085,28.282,2094.7874,934.579,0.96448763,0,0
331.103,-6.6867611,-39.941,25.942,2106.6428,965.723,0.96444178,0,0
339.808,-6.5435452,-33.969,27.143,2102.199,948.735,0.96430761,0,0
340.961,-6.4997423,-33.465,26.462,2109.201,963.395,0.96378786,0,0
347.646,-6.5071411,-29.297,26.384,2115.0232,969.727,0.96376289,0,0
344.913,-6.4454501,-31.046,26.731,2108.9038,962.148,0.96366221,0,0
318.761,-6.47,-48.374,25.63,2101.3032,964.887,0.96326946,0,0
340.318,-6.3554638,-33.954,26.597,2107.1132,961.897,0.96318222,0,0
321.256,-6.182922,-45.839,25.79,2104.7666,959.221,0.96195055,0,0
337.819,-6.1535749,-35.116,25.997,2113.612,966.64,0.96190952,0,0
337.555,-6.1043725,-35.249,26.061,2112.5556,964.391,0.9617171,0,0
354.14,-6.04,-25.308,25.622,2124.01,979.555,0.96131649,0,0
338.198,-5.6877653,-36.21,29.063,2077.8304,932.259,0.96116024,0,0
324.453,-5.7726525,-44.999,27.918,2081.411,938.33,0.96105303,0,0
333.862,-5.9151467,-38.071,26.223,2106.0588,962.978,0.96096522,0,0
339.618,-5.8022544,-34.648,27.23,2098.9156,953.656,0.96088954,0,0
322.249,-5.8723819,-45.757,26.212,2098.3478,955.978,0.96076049,0,0
353.39,-5.6489308,-25.513,27.539,2106.806,947.075,0.96023869,0,0
341.367,-5.7011636,-33.267,26.607,2107.1816,961.316,0.96012757,0,0
344.952,-5.6797522,-31.022,26.742,2108.2904,961.484,0.96007791,0,0
319.548,-5.7212581,-48.127,25.472,2101.4252,968.472,0.95980159,0,0
304.561,-5.66298,-58.507,25.935,2087.4088,950.393,0.95969396,0,0
342.185,-5.3758914,-33.587,28.868,2082.3588,937.008,0.95955757,0,0
343.018,-5.4552668,-31.74,27.263,2103.1986,945.156,0.95920344,0,0
346.36,-5.2836375,-31.289,28.557,2086.1068,947.923,0.95903077,0,0
338.244,-5.431274,-35.065,27.041,2101.9264,951.654,0.95900953,0,0
339.141,-5.4932793,-34.273,26.01,2113.8934,966.559,0.95886094,0,0
334.339,-5.4524296,-37.293,26.019,2110.5396,962.976,0.95867938,0,0
315.249,-5.49,-50.919,25.122,2102.1932,969.302,0.95858199,0,0
343.201,-5.3399938,-32.068,26.556,2108.446,961.65,0.95841749,0,0
322.525,-5.39,-45.987,25.189,2106.099,973.47,0.95814439,0,0
337.502,-5.1327163,-35.528,27.472,2095.929,942.16,0.95778883,0,0
336.214,-5.156462,-36.556,26.736,2102.4034,956.569,0.95762196,0,0
331.622,-5.0149566,-39.921,28.271,2082.8854,933.919,0.95754651,0,0
316.3,-5.28,-49.993,24.954,2104.8814,971.134,0.95754586,0,0
336.617,-5.2132019,-35.789,25.77,2114.4854,967.474,0.95747259,0,0
345.528,-5.0680245,-30.244,27.251,2104.3574,946.824,0.95737701,0,0
338.721,-5.0688038,-34.961,26.601,2105.0958,959.818,0.95716492,0,0
318.088,-5.16,-48.825,24.878,2106.5832,973.717,0.95699131,0,0
327.933,-4.6733333,-42.194,27.849,2085.4112,937.332,0.95573979,0,0
330.74,-4.472443,-41.306,28.698,2074.573,933.01,0.95513613,0,0
326.535,-4.4906593,-43.302,27.823,2083.4198,937.083,0.95488143,0,0
361.697,-4.5214316,-20.953,27.182,2113.5224,963.409,0.95479163,0,0
349.176,-4.3915741,-29.397,28.741,2086.2124,945.344,0.95475723,0,0
319.709,-4.5231073,-47.785,25.947,2097.1492,959.397,0.95441809,0,0
338.31,-4.2837424,-35.274,27.875,2092.185,941.0,0.95388285,0,0
